INDEX,NAME,EC_NR,PDB_ENTRY,PDB_ORGANISM
54,P38 MAP Kinase,2.7.11.24,3FKL,Homo sapiens
107,P38 MAP Kinase,2.7.11.24,3LFA,Homo sapiens
50,P38 MAP Kinase,2.7.11.24,3E92,Homo sapiens
195,P38 MAP Kinase,2.7.11.24,6SFJ,Homo sapiens
58,P38 MAP Kinase,2.7.11.24,3FLN,Homo sapiens
48,P38 MAP Kinase,2.7.11.24,3DS6,Homo sapiens
88,P38 MAP Kinase,2.7.11.24,3HUC,Homo sapiens
21,P38 MAP Kinase,2.7.11.24,1WBV,Homo sapiens
57,P38 MAP Kinase,2.7.11.24,3FL4,Homo sapiens
160,P38 MAP Kinase,2.7.11.24,4EWQ,Homo sapiens
191,P38 MAP Kinase,2.7.11.24,6OHD,Homo sapiens
129,P38 MAP Kinase,2.7.11.24,3ROC,Homo sapiens
37,P38 MAP Kinase,2.7.11.24,2YIW,Homo sapiens
157,P38 MAP Kinase,2.7.11.24,4EH8,Homo sapiens
187,P38 MAP Kinase,2.7.11.24,6HWU,Homo sapiens
1,P38 MAP Kinase,2.7.11.24,1BL6,Homo sapiens
52,P38 MAP Kinase,2.7.11.24,3FC1,Homo sapiens
149,P38 MAP Kinase,2.7.11.24,4E6C,Homo sapiens
130,P38 MAP Kinase,2.7.11.24,3S3I,Homo sapiens
151,P38 MAP Kinase,2.7.11.24,4EH2,Homo sapiens
103,P38 MAP Kinase,2.7.11.24,3KF7,Homo sapiens
99,P38 MAP Kinase,2.7.11.24,3IW7,Homo sapiens
116,P38 MAP Kinase,2.7.11.24,3MVM,Homo sapiens
87,P38 MAP Kinase,2.7.11.24,3HUB,Homo sapiens
74,P38 MAP Kinase,2.7.11.24,3GCQ,Homo sapiens
121,P38 MAP Kinase,2.7.11.24,3NNW,Homo sapiens
198,P38 MAP Kinase,2.7.11.24,6ZWP,Homo sapiens
20,P38 MAP Kinase,2.7.11.24,1WBT,Homo sapiens
188,P38 MAP Kinase,2.7.11.24,6HWV,Homo sapiens
71,P38 MAP Kinase,2.7.11.24,3FSK,Homo sapiens
106,P38 MAP Kinase,2.7.11.24,3L8X,Homo sapiens
14,P38 MAP Kinase,2.7.11.24,1W82,Homo sapiens
92,P38 MAP Kinase,2.7.11.24,3HV6,Homo sapiens
179,P38 MAP Kinase,2.7.11.24,5OMH,Homo sapiens
102,P38 MAP Kinase,2.7.11.24,3K3J,Homo sapiens
